entity_id,entity_name,segment,owner
SER001,Service inefficiency segment 1,Growth,Operations
SER002,Service inefficiency segment 2,Strategic,Product
SER003,Service inefficiency segment 3,Watch,Analytics
SER004,Service inefficiency segment 4,Strategic,Analytics
SER005,Service inefficiency segment 5,Watch,Analytics
SER006,Service inefficiency segment 6,Growth,Customer
SER007,Service inefficiency segment 7,Growth,Revenue
SER008,Service inefficiency segment 8,Core,Operations
SER009,Service inefficiency segment 9,Watch,Customer
SER010,Service inefficiency segment 10,Growth,Revenue
SER011,Service inefficiency segment 11,Core,Product
SER012,Service inefficiency segment 12,Core,Revenue
SER013,Service inefficiency segment 13,Strategic,Analytics
SER014,Service inefficiency segment 14,Core,Revenue
SER015,Service inefficiency segment 15,Watch,Revenue
SER016,Service inefficiency segment 16,Watch,Revenue
SER017,Service inefficiency segment 17,Core,Operations
SER018,Service inefficiency segment 18,Strategic,Revenue
SER019,Service inefficiency segment 19,Core,Operations
SER020,Service inefficiency segment 20,Strategic,Customer
SER021,Service inefficiency segment 21,Core,Customer
SER022,Service inefficiency segment 22,Watch,Revenue
SER023,Service inefficiency segment 23,Growth,Product
SER024,Service inefficiency segment 24,Strategic,Product
SER025,Service inefficiency segment 25,Watch,Product
SER026,Service inefficiency segment 26,Growth,Customer
SER027,Service inefficiency segment 27,Strategic,Customer
SER028,Service inefficiency segment 28,Growth,Product
SER029,Service inefficiency segment 29,Growth,Operations
SER030,Service inefficiency segment 30,Core,Customer
SER031,Service inefficiency segment 31,Core,Revenue
SER032,Service inefficiency segment 32,Watch,Customer
SER033,Service inefficiency segment 33,Growth,Operations
SER034,Service inefficiency segment 34,Core,Customer
SER035,Service inefficiency segment 35,Watch,Operations
SER036,Service inefficiency segment 36,Strategic,Analytics
